OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
8.05,85906690.0,7.4,"Aug 28, 2014 00:00:00",9.0,6.51
7.55,35859028.0,6.01,"Aug 29, 2014 00:00:00",7.79,5.65
5.9,13842564.0,5.81,"Sep 01, 2014 00:00:00",6.0,5.1
5.78,8388332.0,5.6,"Sep 02, 2014 00:00:00",5.78,5.51
5.51,9878909.0,5.76,"Sep 03, 2014 00:00:00",6.2,5.51
5.98,3573215.0,5.73,"Sep 04, 2014 00:00:00",5.98,5.73
5.76,3172725.0,5.62,"Sep 05, 2014 00:00:00",5.85,5.6
5.65,5710996.0,5.25,"Sep 08, 2014 00:00:00",5.65,5.19
5.25,5572838.0,4.9,"Sep 09, 2014 00:00:00",5.37,4.9
5.0,3979330.0,4.66,"Sep 10, 2014 00:00:00",5.0,4.61
4.8,4773330.0,4.61,"Sep 11, 2014 00:00:00",4.8,4.6
4.65,3893710.0,4.43,"Sep 12, 2014 00:00:00",4.79,4.4
4.4,1800550.0,4.3,"Sep 15, 2014 00:00:00",4.6,4.3
4.3,15965450.0,5.08,"Sep 16, 2014 00:00:00",5.9,4.3
5.15,2510755.0,5.18,"Sep 17, 2014 00:00:00",5.44,5.15
5.2,2284952.0,5.12,"Sep 18, 2014 00:00:00",5.4,5.0
5.2,542918.0,5.16,"Sep 22, 2014 00:00:00",5.21,5.0
5.28,689708.0,5.21,"Sep 23, 2014 00:00:00",5.28,5.07
5.24,1350523.0,5.34,"Sep 24, 2014 00:00:00",5.43,5.18
5.45,7715547.0,5.16,"Sep 25, 2014 00:00:00",5.7,5.16
5.32,1017377.0,5.18,"Sep 26, 2014 00:00:00",5.32,5.1
5.35,373086.0,5.12,"Sep 29, 2014 00:00:00",5.35,5.11
5.12,1727026.0,5.09,"Sep 30, 2014 00:00:00",5.27,5.09
5.08,766907.0,5.08,"Oct 01, 2014 00:00:00",5.15,5.04
5.08,718472.0,5.07,"Oct 02, 2014 00:00:00",5.27,5.01
5.07,333185.0,5.04,"Oct 03, 2014 00:00:00",5.2,5.04
5.05,368576.0,5.04,"Oct 07, 2014 00:00:00",5.06,5.01
5.05,1635887.0,5.04,"Oct 08, 2014 00:00:00",5.05,4.89
5.04,297499.0,5.0,"Oct 09, 2014 00:00:00",5.04,4.93
5.0,1116453.0,4.88,"Oct 10, 2014 00:00:00",5.0,4.86
4.85,381150.0,4.8,"Oct 13, 2014 00:00:00",4.99,4.6
4.61,1261960.0,4.6,"Oct 14, 2014 00:00:00",4.68,4.3
4.45,727040.0,4.75,"Oct 15, 2014 00:00:00",5.0,4.45
4.6,384620.0,4.58,"Oct 16, 2014 00:00:00",4.69,4.45
5.21,6556710.0,5.1,"Oct 17, 2014 00:00:00",5.49,4.8
5.35,1370236.0,5.0,"Oct 20, 2014 00:00:00",5.35,4.89
4.99,1346333.0,4.99,"Oct 21, 2014 00:00:00",5.2,4.95
5.0,299590.0,5.15,"Oct 22, 2014 00:00:00",5.18,4.99
5.13,374275.0,5.0,"Oct 23, 2014 00:00:00",5.13,5.0
5.0,180030.0,5.0,"Oct 24, 2014 00:00:00",5.01,4.9
4.9,548730.0,4.98,"Oct 27, 2014 00:00:00",5.0,4.79
4.93,484660.0,4.85,"Oct 28, 2014 00:00:00",4.93,4.83
4.78,2498110.0,4.72,"Oct 29, 2014 00:00:00",4.85,4.72
4.7,1177660.0,4.78,"Oct 30, 2014 00:00:00",5.0,4.7
4.9,68560.0,4.9,"Oct 31, 2014 00:00:00",4.9,4.86
4.9,278700.0,4.8,"Nov 03, 2014 00:00:00",4.9,4.8
4.79,673050.0,4.71,"Nov 04, 2014 00:00:00",4.8,4.7
4.7,879150.0,4.7,"Nov 05, 2014 00:00:00",4.82,4.68
4.7,2741130.0,4.6,"Nov 06, 2014 00:00:00",4.7,4.55
4.55,1311350.0,4.5,"Nov 07, 2014 00:00:00",4.6,4.5
4.55,176650.0,4.55,"Nov 10, 2014 00:00:00",4.6,4.5
4.5,8553970.0,4.2,"Nov 11, 2014 00:00:00",4.5,4.1
4.14,4925420.0,4.03,"Nov 12, 2014 00:00:00",4.14,3.95
4.09,1556240.0,4.0,"Nov 13, 2014 00:00:00",4.3,3.99
4.0,1645370.0,3.97,"Nov 14, 2014 00:00:00",4.0,3.95
3.97,853990.0,3.95,"Nov 17, 2014 00:00:00",4.1,3.9
3.96,438450.0,4.05,"Nov 18, 2014 00:00:00",4.07,3.94
4.05,1216350.0,3.97,"Nov 19, 2014 00:00:00",4.06,3.95
3.97,322890.0,3.99,"Nov 20, 2014 00:00:00",4.0,3.96
4.0,2004190.0,4.17,"Nov 21, 2014 00:00:00",4.21,4.0
4.01,703320.0,4.01,"Nov 24, 2014 00:00:00",4.07,4.0
4.01,9186040.0,4.43,"Nov 25, 2014 00:00:00",4.61,4.01
4.43,6713920.0,4.7,"Nov 26, 2014 00:00:00",4.7,4.43
4.71,10912890.0,4.88,"Nov 27, 2014 00:00:00",5.12,4.7
4.55,7841680.0,4.99,"Nov 28, 2014 00:00:00",5.1,4.55
4.91,2304000.0,4.5,"Dec 01, 2014 00:00:00",4.91,4.5
4.5,2389400.0,4.3,"Dec 02, 2014 00:00:00",4.59,4.3
4.3,1022920.0,4.3,"Dec 03, 2014 00:00:00",4.37,4.19
4.3,971210.0,4.18,"Dec 04, 2014 00:00:00",4.3,4.15
4.16,470530.0,4.19,"Dec 05, 2014 00:00:00",4.2,4.08
4.15,1619390.0,4.14,"Dec 09, 2014 00:00:00",4.35,4.12
4.14,944890.0,4.14,"Dec 10, 2014 00:00:00",4.2,4.05
4.4,279820.0,4.11,"Dec 11, 2014 00:00:00",4.4,4.01
4.33,128940.0,4.22,"Dec 12, 2014 00:00:00",4.33,4.03
4.1,351160.0,4.11,"Dec 15, 2014 00:00:00",4.17,4.0
4.1,528660.0,4.03,"Dec 16, 2014 00:00:00",4.11,4.03
4.03,486850.0,4.1,"Dec 17, 2014 00:00:00",4.1,4.01
4.16,241850.0,4.03,"Dec 18, 2014 00:00:00",4.16,4.02
4.03,279030.0,4.1,"Dec 19, 2014 00:00:00",4.1,4.03
4.1,310260.0,4.12,"Dec 22, 2014 00:00:00",4.14,4.06
4.1,287590.0,4.15,"Dec 23, 2014 00:00:00",4.15,4.1
4.13,520090.0,4.2,"Dec 29, 2014 00:00:00",4.2,4.13
4.18,888390.0,4.17,"Jan 05, 2015 00:00:00",4.25,4.16
4.14,409910.0,4.15,"Jan 06, 2015 00:00:00",4.15,4.08
4.18,481440.0,4.17,"Jan 07, 2015 00:00:00",4.18,4.06
4.15,1585460.0,4.28,"Jan 08, 2015 00:00:00",4.45,4.15
4.3,4591870.0,4.38,"Jan 09, 2015 00:00:00",4.59,4.29
4.38,485060.0,4.21,"Jan 12, 2015 00:00:00",4.46,4.2
4.21,297180.0,4.23,"Jan 13, 2015 00:00:00",4.35,4.16
4.2,691610.0,4.2,"Jan 14, 2015 00:00:00",4.22,4.15
4.25,449410.0,4.15,"Jan 19, 2015 00:00:00",4.25,4.14
4.15,1384170.0,4.09,"Jan 20, 2015 00:00:00",4.15,4.09
4.1,1943740.0,4.07,"Jan 21, 2015 00:00:00",4.2,4.06
4.08,795410.0,4.05,"Jan 22, 2015 00:00:00",4.08,4.05
4.21,813980.0,4.14,"Jan 23, 2015 00:00:00",4.21,4.03
4.09,1757380.0,4.15,"Jan 26, 2015 00:00:00",4.18,3.99
4.06,1216490.0,4.0,"Jan 27, 2015 00:00:00",4.1,3.99
4.0,1029940.0,4.0,"Jan 28, 2015 00:00:00",4.0,3.98
4.06,2549640.0,3.9,"Jan 29, 2015 00:00:00",4.06,3.8
4.0,549610.0,3.86,"Jan 30, 2015 00:00:00",4.0,3.83
3.98,1968560.0,3.88,"Feb 02, 2015 00:00:00",3.98,3.75
3.89,825880.0,3.85,"Feb 03, 2015 00:00:00",3.98,3.8
3.85,2151740.0,3.79,"Feb 04, 2015 00:00:00",3.95,3.73
3.78,1966550.0,3.75,"Feb 05, 2015 00:00:00",3.8,3.69
3.75,93050.0,3.7,"Feb 06, 2015 00:00:00",3.78,3.7
3.81,549240.0,3.75,"Feb 09, 2015 00:00:00",3.85,3.71
3.75,458050.0,3.72,"Feb 10, 2015 00:00:00",3.75,3.71
3.71,152120.0,3.72,"Feb 11, 2015 00:00:00",3.72,3.71
3.71,962740.0,3.72,"Feb 12, 2015 00:00:00",3.8,3.71
3.73,294080.0,3.72,"Feb 13, 2015 00:00:00",3.73,3.71
3.71,333360.0,3.7,"Feb 16, 2015 00:00:00",3.85,3.7
3.85,248560.0,3.7,"Feb 17, 2015 00:00:00",3.85,3.7
3.7,2119150.0,3.67,"Feb 18, 2015 00:00:00",3.8,3.67
3.67,143930.0,3.72,"Feb 20, 2015 00:00:00",3.72,3.67
3.71,576300.0,3.68,"Feb 23, 2015 00:00:00",3.71,3.67
3.69,548060.0,3.82,"Feb 24, 2015 00:00:00",3.82,3.69
3.8,3800.0,3.8,"Feb 25, 2015 00:00:00",3.8,3.8
3.9,1022200.0,3.88,"Feb 26, 2015 00:00:00",4.0,3.79
3.83,471550.0,3.82,"Feb 27, 2015 00:00:00",3.85,3.82
4.0,6488980.0,4.35,"Mar 02, 2015 00:00:00",4.35,3.95
4.41,8720590.0,4.55,"Mar 03, 2015 00:00:00",4.75,4.41
4.49,1229610.0,4.42,"Mar 04, 2015 00:00:00",4.51,4.3
4.42,930480.0,4.32,"Mar 05, 2015 00:00:00",4.44,4.32
4.32,224350.0,4.35,"Mar 06, 2015 00:00:00",4.35,4.29
4.31,435230.0,4.28,"Mar 09, 2015 00:00:00",4.38,4.28
4.23,1513240.0,4.29,"Mar 10, 2015 00:00:00",4.44,4.23
4.2,110570.0,4.25,"Mar 11, 2015 00:00:00",4.44,4.2
4.24,873210.0,4.39,"Mar 12, 2015 00:00:00",4.4,4.21
4.4,116330.0,4.39,"Mar 13, 2015 00:00:00",4.4,4.28
4.28,234410.0,4.24,"Mar 16, 2015 00:00:00",4.37,4.24
4.3,105370.0,4.2,"Mar 17, 2015 00:00:00",4.3,4.2
4.12,496880.0,4.17,"Mar 18, 2015 00:00:00",4.2,4.0
4.17,214330.0,4.16,"Mar 19, 2015 00:00:00",4.17,4.07
4.11,139270.0,4.08,"Mar 20, 2015 00:00:00",4.15,4.08
4.09,570240.0,4.05,"Mar 23, 2015 00:00:00",4.18,4.01
4.05,32770.0,4.15,"Mar 24, 2015 00:00:00",4.2,4.05
4.08,106630.0,4.18,"Mar 26, 2015 00:00:00",4.23,4.06
4.18,110780.0,4.1,"Mar 27, 2015 00:00:00",4.18,4.1
4.06,201080.0,4.08,"Mar 30, 2015 00:00:00",4.18,4.06
4.07,285670.0,4.07,"Mar 31, 2015 00:00:00",4.1,4.07
4.1,4436200.0,4.1,"Apr 01, 2015 00:00:00",4.1,4.1
4.1,24480.0,4.08,"Apr 06, 2015 00:00:00",4.1,4.06
4.08,426830.0,4.06,"Apr 07, 2015 00:00:00",4.08,4.06
4.1,1117000.0,4.15,"Apr 08, 2015 00:00:00",4.25,4.1
4.2,184310.0,4.1,"Apr 10, 2015 00:00:00",4.2,4.08
4.09,69620.0,4.1,"Apr 13, 2015 00:00:00",4.1,4.09
4.12,357820.0,4.1,"Apr 14, 2015 00:00:00",4.12,4.1
4.15,29010.0,4.06,"Apr 15, 2015 00:00:00",4.16,4.06
4.15,287050.0,4.13,"Apr 16, 2015 00:00:00",4.18,4.12
4.2,811010.0,4.11,"Apr 17, 2015 00:00:00",4.24,4.1
4.18,997540.0,4.18,"Apr 20, 2015 00:00:00",4.18,4.11
4.18,1828490.0,4.28,"Apr 21, 2015 00:00:00",4.29,4.18
4.3,1682280.0,4.45,"Apr 22, 2015 00:00:00",4.46,4.3
4.45,163990.0,4.47,"Apr 23, 2015 00:00:00",4.47,4.37
4.48,4041280.0,4.64,"Apr 24, 2015 00:00:00",4.66,4.48
4.64,732560.0,4.4,"Apr 27, 2015 00:00:00",4.64,4.4
