OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
3.1,24800.0,3.1,"Aug 04, 2009 00:00:00",3.1,3.1
3.15,31500.0,3.15,"Aug 06, 2009 00:00:00",3.15,3.15
3.2,25600.0,3.2,"Aug 12, 2009 00:00:00",3.2,3.2
3.0,122500.0,3.1,"Aug 18, 2009 00:00:00",3.1,3.0
3.0,198000.0,3.1,"Aug 19, 2009 00:00:00",3.1,3.0
3.0,9000.0,3.0,"Sep 22, 2009 00:00:00",3.0,3.0
3.0,36000.0,3.0,"Oct 09, 2009 00:00:00",3.0,3.0
3.1,70000.0,3.0,"Oct 12, 2009 00:00:00",3.1,3.0
3.05,511200.0,3.1,"Oct 19, 2009 00:00:00",3.1,3.05
3.0,27000.0,3.0,"Oct 21, 2009 00:00:00",3.0,3.0
3.2,16000.0,3.2,"Oct 29, 2009 00:00:00",3.2,3.2
3.4,34000.0,3.4,"Jan 05, 2010 00:00:00",3.4,3.4
3.0,30000.0,3.0,"Jan 06, 2010 00:00:00",3.0,3.0
3.4,6800.0,3.4,"Jan 07, 2010 00:00:00",3.4,3.4
3.35,10100.0,3.4,"Jan 13, 2010 00:00:00",3.4,3.35
3.2,16000.0,3.2,"Jan 15, 2010 00:00:00",3.2,3.2
3.0,246000.0,3.0,"Jan 19, 2010 00:00:00",3.0,3.0
3.2,6400.0,3.2,"Jan 20, 2010 00:00:00",3.2,3.2
3.1,18600.0,3.1,"Jan 22, 2010 00:00:00",3.1,3.1
3.1,15500.0,3.1,"Feb 08, 2010 00:00:00",3.1,3.1
3.05,334500.0,3.1,"Feb 10, 2010 00:00:00",3.15,3.05
3.1,9300.0,3.1,"Mar 16, 2010 00:00:00",3.1,3.1
3.45,10350.0,3.45,"Mar 31, 2010 00:00:00",3.45,3.45
3.4,10200.0,3.4,"Apr 30, 2010 00:00:00",3.4,3.4
3.65,18400.0,3.7,"May 17, 2010 00:00:00",3.7,3.65
3.25,13000.0,3.25,"May 19, 2010 00:00:00",3.25,3.25
3.25,32500.0,3.25,"May 21, 2010 00:00:00",3.25,3.25
3.65,11000.0,3.7,"May 25, 2010 00:00:00",3.7,3.65
3.2,25600.0,3.2,"May 26, 2010 00:00:00",3.2,3.2
3.2,6400.0,3.2,"May 27, 2010 00:00:00",3.2,3.2
3.25,45300.0,3.2,"Jun 01, 2010 00:00:00",3.25,3.2
3.25,100750.0,3.5,"Jun 02, 2010 00:00:00",3.5,3.25
